Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
Baltimore/Washington,Weekly,"2017-09-17 00:00:00",Organic,2.650000000,1491.87,67.41,563.56,0.00,860.90,152.33,707.07,1.50
Boise,Weekly,"2017-09-17 00:00:00",Organic,1.560000000,31066.35,7.65,1268.05,0.00,29790.65,29698.52,92.13,0.00
Boston,Weekly,"2017-09-17 00:00:00",Organic,1.470000000,7698.45,274.35,139.90,0.00,7284.20,6095.36,1188.84,0.00
Buffalo/Rochester,Weekly,"2017-09-17 00:00:00",Organic,2.180000000,152064.59,48806.34,66114.77,0.00,37143.48,37121.28,22.20,0.00
California,Weekly,"2017-09-17 00:00:00",Organic,2.770000000,8821.08,22.96,4305.79,157.10,4335.23,4168.73,166.50,0.00
Charlotte,Weekly,"2017-09-17 00:00:00",Organic,2.130000000,28047.95,123.84,20717.47,0.00,7206.64,7206.64,0.00,0.00
Chicago,Weekly,"2017-09-17 00:00:00",Organic,2.140000000,11956.98,294.89,3982.86,0.00,7679.23,2517.66,5161.57,0.00
Cincinnati/Dayton,Weekly,"2017-09-17 00:00:00",Organic,2.030000000,7548.10,655.57,1881.57,0.00,5010.96,4019.43,991.53,0.00
Columbus,Weekly,"2017-09-17 00:00:00",Organic,1.790000000,20021.49,6047.16,554.40,0.00,13419.93,13403.27,16.66,0.00
"Dallas/Ft. Worth",Weekly,"2017-09-17 00:00:00",Organic,2.020000000,22029.46,6551.62,478.17,20.59,14979.08,14966.06,13.02,0.00
Denver,Weekly,"2017-09-17 00:00:00",Organic,1.850000000,17461.53,432.30,3502.18,0.00,13499.20,11092.84,2406.36,0.00
Detroit,Weekly,"2017-09-17 00:00:00",Organic,1.400000000,8378.17,44.49,818.97,0.00,7514.71,7514.71,0.00,0.00
"Grand Rapids",Weekly,"2017-09-17 00:00:00",Organic,1.840000000,151888.89,3588.06,43683.43,0.00,104460.38,81696.70,22763.68,0.00
"Great Lakes",Weekly,"2017-09-17 00:00:00",Organic,1.510000000,20994.85,298.41,248.18,18.48,20429.78,20429.78,0.00,0.00
Harrisburg/Scranton,Weekly,"2017-09-17 00:00:00",Organic,1.960000000,18572.79,68.70,4275.95,11.18,14216.96,14216.96,0.00,0.00
Hartford/Springfield,Weekly,"2017-09-17 00:00:00",Organic,1.920000000,23279.61,21890.54,64.81,0.00,1324.26,1320.93,3.33,0.00
Houston,Weekly,"2017-09-17 00:00:00",Organic,1.730000000,8437.05,125.46,1242.04,0.00,7066.78,4410.62,2656.16,0.00
Indianapolis,Weekly,"2017-09-17 00:00:00",Organic,2.580000000,3993.70,226.97,907.87,0.00,2858.86,786.67,2072.19,0.00
Jacksonville,Weekly,"2017-09-17 00:00:00",Organic,2.390000000,5487.10,1148.88,131.26,0.00,4206.96,4200.29,6.67,0.00
"Las Vegas",Weekly,"2017-09-17 00:00:00",Organic,2.320000000,64855.01,12786.21,24889.50,0.00,27179.30,27160.25,19.05,0.00
"Los Angeles",Weekly,"2017-09-17 00:00:00",Organic,2.120000000,3779.04,9.05,993.21,0.00,2776.78,713.34,2063.44,0.00
Louisville,Weekly,"2017-09-17 00:00:00",Organic,1.760000000,1306.18,44.29,15.22,0.00,1246.67,1246.67,0.00,0.00
"Miami/Ft. Lauderdale",Weekly,"2017-09-17 00:00:00",Organic,1.930000000,158623.92,3307.02,36351.09,628.33,118337.48,102794.03,15543.45,0.00
Midsouth,Weekly,"2017-09-17 00:00:00",Organic,2.190000000,8579.11,117.04,2557.35,0.00,5904.72,1778.30,4126.42,0.00
Nashville,Weekly,"2017-09-17 00:00:00",Organic,1.890000000,6311.86,313.42,179.09,0.00,5819.35,5023.34,796.01,0.00
"New Orleans/Mobile",Weekly,"2017-09-17 00:00:00",Organic,2.080000000,70931.23,4879.35,23574.90,12.30,42464.68,42464.68,0.00,0.00
"New York",Weekly,"2017-09-17 00:00:00",Organic,1.740000000,238274.56,9146.68,34141.63,44.41,194941.84,193019.04,1922.80,0.00
Northeast,Weekly,"2017-09-17 00:00:00",Organic,1.540000000,15649.28,5.62,147.09,0.00,15496.57,15496.57,0.00,0.00
"Northern New England",Weekly,"2017-09-17 00:00:00",Organic,2.650000000,5500.41,486.39,1590.78,0.00,3423.24,1720.22,1703.02,0.00
Orlando,Weekly,"2017-09-17 00:00:00",Organic,1.620000000,30696.16,1230.31,4224.35,5.17,25236.33,25236.33,0.00,0.00
Philadelphia,Weekly,"2017-09-17 00:00:00",Organic,1.820000000,12009.40,3712.48,307.14,0.00,7989.78,7976.99,12.79,0.00
Phoenix/Tucson,Weekly,"2017-09-17 00:00:00",Organic,1.430000000,10257.52,1124.54,21.22,0.00,9111.76,9111.76,0.00,0.00
Pittsburgh,Weekly,"2017-09-17 00:00:00",Organic,2.120000000,54502.39,1296.96,16452.09,60.03,36688.72,20458.94,16229.78,0.00
Plains,Weekly,"2017-09-17 00:00:00",Organic,2.830000000,14321.85,236.27,2269.84,9.78,11805.96,1404.53,10377.89,23.54
Portland,Weekly,"2017-09-17 00:00:00",Organic,2.920000000,10297.07,89.79,4298.97,161.11,5747.20,5319.20,428.00,0.00
Raleigh/Greensboro,Weekly,"2017-09-17 00:00:00",Organic,1.590000000,14824.51,336.19,2732.34,44.13,11711.85,10680.64,1031.21,0.00
Richmond/Norfolk,Weekly,"2017-09-17 00:00:00",Organic,1.900000000,7847.81,232.91,1598.30,0.00,6016.60,4434.42,1582.18,0.00
Roanoke,Weekly,"2017-09-17 00:00:00",Organic,1.920000000,9174.58,3470.19,3797.05,0.00,1907.34,1907.34,0.00,0.00
Sacramento,Weekly,"2017-09-17 00:00:00",Organic,2.390000000,12673.52,2229.66,9322.51,0.00,1121.35,1121.35,0.00,0.00
"San Diego",Weekly,"2017-09-17 00:00:00",Organic,2.040000000,32191.54,18705.05,12704.86,0.00,781.63,781.63,0.00,0.00
"San Francisco",Weekly,"2017-09-17 00:00:00",Organic,2.860000000,21772.12,883.47,8062.13,7.57,12818.95,1109.17,11692.96,16.82
Seattle,Weekly,"2017-09-17 00:00:00",Organic,2.210000000,11850.68,184.23,3603.67,86.44,7976.34,6711.54,1264.80,0.00
"South Carolina",Weekly,"2017-09-17 00:00:00",Organic,1.800000000,108093.32,49755.71,3371.39,0.00,54966.22,53033.25,1932.97,0.00
"South Central",Weekly,"2017-09-17 00:00:00",Organic,2.330000000,71648.47,2089.25,17722.64,103.36,51733.22,33649.14,18084.08,0.00
Southeast,Weekly,"2017-09-17 00:00:00",Organic,2.940000000,2375.19,181.23,861.34,0.00,1332.62,312.22,1020.40,0.00
Spokane,Weekly,"2017-09-17 00:00:00",Organic,2.710000000,5269.51,31.82,1053.07,0.00,4184.62,57.77,4126.85,0.00
"St. Louis",Weekly,"2017-09-17 00:00:00",Organic,1.430000000,4674.76,120.62,66.66,0.00,4487.48,4247.07,240.41,0.00
Syracuse,Weekly,"2017-09-17 00:00:00",Organic,1.780000000,1249.75,23.58,40.61,0.00,1185.56,1185.56,0.00,0.00
Tampa,Weekly,"2017-09-17 00:00:00",Organic,2.000000000,1074567.70,140979.17,243233.57,891.60,689301.75,582096.90,107163.76,41.09
West,Weekly,"2017-09-17 00:00:00",Organic,2.400000000,139471.62,22989.15,25396.53,55.47,91030.47,60324.57,30664.81,41.09
"West Tex/New Mexico",Weekly,"2017-09-17 00:00:00",Organic,2.360000000,10464.29,1845.14,2819.17,0.00,5799.98,5796.65,3.33,0.00
"Total U.S.",Weekly,"2017-09-24 00:00:00",Organic,1.420000000,3627.18,56.82,95.31,0.00,3475.05,3475.05,0.00,0.00
Albany,Weekly,"2017-09-24 00:00:00",Organic,2.560000000,18912.30,507.34,5068.56,0.00,13336.40,4252.99,9083.41,0.00
Atlanta,Weekly,"2017-09-24 00:00:00",Organic,1.530000000,62464.93,2666.66,6252.03,94.49,53451.75,53451.75,0.00,0.00
Baltimore/Washington,Weekly,"2017-09-24 00:00:00",Organic,2.640000000,1411.83,63.68,535.14,0.00,813.01,75.19,737.82,0.00
Boise,Weekly,"2017-09-24 00:00:00",Organic,1.560000000,31132.88,51.41,952.51,0.00,30128.96,30124.52,4.44,0.00
Boston,Weekly,"2017-09-24 00:00:00",Organic,1.400000000,10081.25,277.50,133.65,0.00,9670.10,9642.01,28.09,0.00
Buffalo/Rochester,Weekly,"2017-09-24 00:00:00",Organic,2.050000000,138458.82,34599.22,63107.77,1.57,40750.26,40700.41,49.85,0.00
California,Weekly,"2017-09-24 00:00:00",Organic,2.550000000,10375.19,22.31,4284.88,118.25,5949.75,5560.32,389.43,0.00
Charlotte,Weekly,"2017-09-24 00:00:00",Organic,1.920000000,33346.53,110.63,25900.41,0.00,7335.49,7331.05,4.44,0.00
Chicago,Weekly,"2017-09-24 00:00:00",Organic,2.200000000,16058.20,351.12,3638.62,0.00,12068.46,2048.66,10019.80,0.00
Cincinnati/Dayton,Weekly,"2017-09-24 00:00:00",Organic,2.220000000,10488.79,571.88,1881.72,0.00,8035.19,4142.07,3893.12,0.00
Columbus,Weekly,"2017-09-24 00:00:00",Organic,1.680000000,21508.67,5819.22,535.85,0.00,15153.60,15146.93,6.67,0.00
"Dallas/Ft. Worth",Weekly,"2017-09-24 00:00:00",Organic,1.690000000,6554.93,3286.51,244.17,17.19,3007.06,3000.40,6.66,0.00
Denver,Weekly,"2017-09-24 00:00:00",Organic,2.080000000,24482.08,556.01,3536.55,0.00,20251.77,11223.57,9028.20,0.00
Detroit,Weekly,"2017-09-24 00:00:00",Organic,1.460000000,8043.21,30.76,978.60,0.00,7033.85,7033.85,0.00,0.00
"Grand Rapids",Weekly,"2017-09-24 00:00:00",Organic,1.890000000,179687.73,3756.30,48823.74,0.00,126611.68,84494.08,42117.60,0.00
"Great Lakes",Weekly,"2017-09-24 00:00:00",Organic,1.470000000,23810.69,312.15,164.21,17.19,23317.14,23317.14,0.00,0.00
Harrisburg/Scranton,Weekly,"2017-09-24 00:00:00",Organic,1.820000000,19611.69,122.01,3577.52,0.00,15912.16,15912.16,0.00,0.00
Hartford/Springfield,Weekly,"2017-09-24 00:00:00",Organic,1.910000000,28280.43,17784.07,43.62,0.00,10452.74,10449.41,3.33,0.00
Houston,Weekly,"2017-09-24 00:00:00",Organic,1.750000000,7918.96,147.27,1288.65,0.00,6459.71,3930.37,2529.34,0.00
Indianapolis,Weekly,"2017-09-24 00:00:00",Organic,2.570000000,5040.98,187.28,1310.93,0.00,3542.77,1314.76,2228.01,0.00
Jacksonville,Weekly,"2017-09-24 00:00:00",Organic,2.250000000,5491.29,1048.15,145.00,0.00,4298.14,4281.47,16.67,0.00
"Las Vegas",Weekly,"2017-09-24 00:00:00",Organic,2.030000000,73696.30,12051.52,29225.85,1.59,32417.34,32377.02,40.32,0.00
"Los Angeles",Weekly,"2017-09-24 00:00:00",Organic,2.210000000,4156.59,2.59,1074.42,0.00,3079.58,1064.51,2015.07,0.00
Louisville,Weekly,"2017-09-24 00:00:00",Organic,1.900000000,2978.57,29.29,319.28,0.00,2630.00,2630.00,0.00,0.00
"Miami/Ft. Lauderdale",Weekly,"2017-09-24 00:00:00",Organic,1.910000000,176556.11,4036.40,34545.41,517.42,137448.65,115927.20,21521.45,0.00
Midsouth,Weekly,"2017-09-24 00:00:00",Organic,2.240000000,8917.50,104.37,2500.14,0.00,6312.99,1601.56,4711.43,0.00
Nashville,Weekly,"2017-09-24 00:00:00",Organic,1.890000000,6852.14,155.62,218.47,0.00,6478.05,5656.66,821.39,0.00
"New Orleans/Mobile",Weekly,"2017-09-24 00:00:00",Organic,2.060000000,70365.19,5244.89,22378.40,77.37,42664.53,42664.53,0.00,0.00
"New York",Weekly,"2017-09-24 00:00:00",Organic,1.680000000,255258.55,9811.16,31012.00,108.75,214326.64,214282.33,44.31,0.00
Northeast,Weekly,"2017-09-24 00:00:00",Organic,1.570000000,16661.59,1.21,105.02,0.00,16555.36,16555.36,0.00,0.00
"Northern New England",Weekly,"2017-09-24 00:00:00",Organic,2.310000000,7564.56,496.68,1531.43,0.00,5536.45,4451.92,1084.53,0.00
Orlando,Weekly,"2017-09-24 00:00:00",Organic,1.570000000,34499.29,1640.43,3883.65,28.78,28946.43,28946.43,0.00,0.00
Philadelphia,Weekly,"2017-09-24 00:00:00",Organic,1.810000000,12410.32,3328.26,270.47,0.00,8811.59,8808.26,3.33,0.00
Phoenix/Tucson,Weekly,"2017-09-24 00:00:00",Organic,1.420000000,11807.12,1175.34,44.45,0.00,10587.33,10584.00,3.33,0.00
Pittsburgh,Weekly,"2017-09-24 00:00:00",Organic,2.130000000,49093.24,1296.19,15708.29,379.90,31704.85,22812.27,8884.57,8.01
Plains,Weekly,"2017-09-24 00:00:00",Organic,2.810000000,13513.91,179.73,1941.11,0.00,11393.07,1399.19,9963.02,30.86
Portland,Weekly,"2017-09-24 00:00:00",Organic,2.380000000,14971.31,130.85,4470.68,116.31,10253.47,9603.33,650.14,0.00
Raleigh/Greensboro,Weekly,"2017-09-24 00:00:00",Organic,1.760000000,14075.51,257.62,2561.93,53.35,11202.61,9417.16,1785.45,0.00
Richmond/Norfolk,Weekly,"2017-09-24 00:00:00",Organic,2.080000000,7802.86,226.04,1466.48,0.00,6110.34,3593.88,2516.46,0.00
Roanoke,Weekly,"2017-09-24 00:00:00",Organic,1.890000000,7344.32,2672.33,3111.54,0.00,1560.45,1557.12,3.33,0.00
Sacramento,Weekly,"2017-09-24 00:00:00",Organic,2.230000000,14173.82,2804.46,10041.55,0.00,1327.81,1327.81,0.00,0.00
"San Diego",Weekly,"2017-09-24 00:00:00",Organic,2.060000000,19095.21,10381.10,8026.03,0.00,688.08,688.08,0.00,0.00
"San Francisco",Weekly,"2017-09-24 00:00:00",Organic,2.830000000,23238.29,846.00,8040.13,18.99,14333.17,1385.82,12885.47,61.88
Seattle,Weekly,"2017-09-24 00:00:00",Organic,2.100000000,14716.18,138.30,3523.55,102.81,10951.52,8975.77,1975.75,0.00
"South Carolina",Weekly,"2017-09-24 00:00:00",Organic,1.770000000,124121.46,43104.01,2957.09,0.00,78060.36,74777.97,3282.39,0.00
"South Central",Weekly,"2017-09-24 00:00:00",Organic,2.250000000,90946.17,2085.26,19427.02,132.87,69301.02,46009.03,23291.99,0.00
Southeast,Weekly,"2017-09-24 00:00:00",Organic,2.950000000,2417.55,168.12,1025.14,0.00,1224.29,370.00,849.73,4.56
Spokane,Weekly,"2017-09-24 00:00:00",Organic,2.490000000,2935.97,8.94,475.60,0.00,2451.43,516.43,1935.00,0.00
"St. Louis",Weekly,"2017-09-24 00:00:00",Organic,1.400000000,6416.81,95.09,88.80,0.00,6232.92,6229.59,3.33,0.00
Syracuse,Weekly,"2017-09-24 00:00:00",Organic,1.850000000,4633.29,96.46,399.84,0.00,4136.99,3827.77,309.22,0.00
Tampa,Weekly,"2017-09-24 00:00:00",Organic,1.940000000,1125443.38,116338.61,237876.77,1182.85,769536.90,639021.62,130401.43,113.85
West,Weekly,"2017-09-24 00:00:00",Organic,2.400000000,111321.19,17650.08,22295.44,42.34,71333.33,40018.26,31209.23,105.84
"West Tex/New Mexico",Weekly,"2017-09-24 00:00:00",Organic,2.260000000,9528.64,1545.34,2234.23,0.00,5749.07,5722.40,26.67,0.00
"Total U.S.",Weekly,"2017-10-01 00:00:00",Organic,1.590000000,3423.95,31.20,150.24,0.00,3242.51,3242.51,0.00,0.00
Albany,Weekly,"2017-10-01 00:00:00",Organic,2.750000000,13557.58,543.85,4724.38,0.00,8289.35,4856.11,3433.24,0.00
Atlanta,Weekly,"2017-10-01 00:00:00",Organic,1.620000000,48973.13,2863.92,5844.08,56.27,40208.86,40203.04,5.82,0.00
Baltimore/Washington,Weekly,"2017-10-01 00:00:00",Organic,2.790000000,1373.11,58.19,473.62,0.00,841.30,40.17,801.13,0.00
Boise,Weekly,"2017-10-01 00:00:00",Organic,1.610000000,26718.67,17.83,1127.52,0.00,25573.32,25559.99,13.33,0.00
Boston,Weekly,"2017-10-01 00:00:00",Organic,1.390000000,11486.81,277.80,111.48,0.00,11097.53,11092.17,5.36,0.00
Buffalo/Rochester,Weekly,"2017-10-01 00:00:00",Organic,2.080000000,132771.77,31036.76,59948.60,0.00,41786.41,41755.45,30.96,0.00
California,Weekly,"2017-10-01 00:00:00",Organic,2.820000000,8276.33,12.62,4182.38,174.37,3906.96,3656.44,250.52,0.00
Charlotte,Weekly,"2017-10-01 00:00:00",Organic,1.840000000,31903.97,61.05,25186.76,0.00,6656.16,6656.16,0.00,0.00
Chicago,Weekly,"2017-10-01 00:00:00",Organic,2.010000000,12767.55,398.22,4418.33,0.00,7940.18,6126.77,1813.41,0.00
Cincinnati/Dayton,Weekly,"2017-10-01 00:00:00",Organic,1.910000000,9352.24,599.90,2055.80,0.00,6696.54,6061.17,635.37,0.00
Columbus,Weekly,"2017-10-01 00:00:00",Organic,1.700000000,21220.62,5442.96,387.86,0.00,15389.80,15386.47,3.33,0.00
"Dallas/Ft. Worth",Weekly,"2017-10-01 00:00:00",Organic,1.930000000,10632.88,3685.08,235.65,11.49,6700.66,6690.16,10.50,0.00
Denver,Weekly,"2017-10-01 00:00:00",Organic,1.750000000,21753.60,503.84,3596.40,0.00,17535.94,15555.28,1980.66,0.00
Detroit,Weekly,"2017-10-01 00:00:00",Organic,1.440000000,12551.82,42.11,3419.13,0.00,9090.58,9090.58,0.00,0.00
"Grand Rapids",Weekly,"2017-10-01 00:00:00",Organic,1.720000000,180253.26,3467.06,52244.98,0.00,124087.10,109113.00,14974.10,0.00
"Great Lakes",Weekly,"2017-10-01 00:00:00",Organic,1.500000000,22744.08,259.99,164.27,6.71,22313.11,22313.11,0.00,0.00
Harrisburg/Scranton,Weekly,"2017-10-01 00:00:00",Organic,2.060000000,13827.70,72.05,3318.15,1.41,10436.09,10434.53,1.56,0.00
Hartford/Springfield,Weekly,"2017-10-01 00:00:00",Organic,1.890000000,23587.70,11150.15,8.31,0.00,12429.24,12429.24,0.00,0.00
Houston,Weekly,"2017-10-01 00:00:00",Organic,1.680000000,7780.31,154.85,1188.01,0.00,6376.61,4453.01,1923.60,0.00
Indianapolis,Weekly,"2017-10-01 00:00:00",Organic,2.990000000,2819.87,174.13,703.73,12.01,1930.00,1736.97,193.03,0.00
Jacksonville,Weekly,"2017-10-01 00:00:00",Organic,2.240000000,5291.89,1055.34,115.35,0.00,4121.20,4037.32,83.88,0.00
"Las Vegas",Weekly,"2017-10-01 00:00:00",Organic,2.100000000,65405.61,8450.82,26774.86,0.00,30179.93,30158.69,21.24,0.00
"Los Angeles",Weekly,"2017-10-01 00:00:00",Organic,2.290000000,3102.30,0.00,999.73,0.00,2102.57,1289.23,813.34,0.00
Louisville,Weekly,"2017-10-01 00:00:00",Organic,2.090000000,2975.53,33.26,445.60,0.00,2496.67,2496.67,0.00,0.00
"Miami/Ft. Lauderdale",Weekly,"2017-10-01 00:00:00",Organic,1.990000000,149030.87,4351.29,33501.74,592.25,110585.59,101954.05,8631.54,0.00
Midsouth,Weekly,"2017-10-01 00:00:00",Organic,2.220000000,8229.65,88.65,2826.04,0.00,5314.96,3217.15,2097.81,0.00
Nashville,Weekly,"2017-10-01 00:00:00",Organic,1.970000000,3769.02,207.39,135.26,0.00,3426.37,3269.44,156.93,0.00
"New Orleans/Mobile",Weekly,"2017-10-01 00:00:00",Organic,2.040000000,63623.43,5060.70,14782.90,90.07,43689.76,43667.44,22.32,0.00
"New York",Weekly,"2017-10-01 00:00:00",Organic,1.700000000,236097.14,9408.76,23215.19,79.66,203393.53,203353.59,39.94,0.00
Northeast,Weekly,"2017-10-01 00:00:00",Organic,1.560000000,18317.19,10.88,163.19,0.00,18143.12,18143.12,0.00,0.00
"Northern New England",Weekly,"2017-10-01 00:00:00",Organic,2.350000000,8517.29,239.14,1618.07,0.00,6660.08,5291.11,1368.97,0.00
Orlando,Weekly,"2017-10-01 00:00:00",Organic,1.610000000,32035.84,1696.86,3087.30,0.00,27251.68,27251.68,0.00,0.00
Philadelphia,Weekly,"2017-10-01 00:00:00",Organic,1.800000000,11071.70,2624.47,142.40,0.00,8304.83,8270.68,34.15,0.00
Phoenix/Tucson,Weekly,"2017-10-01 00:00:00",Organic,1.400000000,11819.12,969.51,35.45,0.00,10814.16,10814.16,0.00,0.00
Pittsburgh,Weekly,"2017-10-01 00:00:00",Organic,2.090000000,60186.09,1616.73,15507.70,1134.30,41901.30,32057.02,9844.28,0.00
Plains,Weekly,"2017-10-01 00:00:00",Organic,2.860000000,16126.21,188.42,2362.60,1.64,13573.55,1314.56,12249.89,9.10
Portland,Weekly,"2017-10-01 00:00:00",Organic,3.000000000,10741.93,140.46,4331.20,147.11,6123.16,5873.99,249.17,0.00
Raleigh/Greensboro,Weekly,"2017-10-01 00:00:00",Organic,1.600000000,14274.34,250.53,2545.53,18.17,11460.11,10711.65,748.46,0.00
Richmond/Norfolk,Weekly,"2017-10-01 00:00:00",Organic,1.830000000,7771.43,271.56,1683.70,0.00,5816.17,4753.12,1063.05,0.00
Roanoke,Weekly,"2017-10-01 00:00:00",Organic,1.860000000,7334.65,2464.29,2785.94,0.00,2084.42,2077.75,6.67,0.00
Sacramento,Weekly,"2017-10-01 00:00:00",Organic,2.270000000,13509.43,1595.59,8857.77,0.00,3056.07,3056.07,0.00,0.00
"San Diego",Weekly,"2017-10-01 00:00:00",Organic,2.040000000,22703.05,11899.79,9824.74,0.00,978.52,978.52,0.00,0.00
"San Francisco",Weekly,"2017-10-01 00:00:00",Organic,2.860000000,25718.23,770.12,9708.80,7.60,15231.71,1062.22,14155.42,14.07
Seattle,Weekly,"2017-10-01 00:00:00",Organic,2.150000000,12921.65,182.40,3400.73,81.20,9257.32,8506.20,751.12,0.00
"South Carolina",Weekly,"2017-10-01 00:00:00",Organic,1.750000000,107773.96,31572.30,2854.98,0.00,73346.68,72854.87,491.81,0.00
"South Central",Weekly,"2017-10-01 00:00:00",Organic,2.290000000,83783.04,2020.76,18485.31,135.54,63141.43,52500.31,10641.12,0.00
Southeast,Weekly,"2017-10-01 00:00:00",Organic,2.880000000,2413.84,148.64,825.79,0.00,1439.41,391.11,1043.71,4.59
Spokane,Weekly,"2017-10-01 00:00:00",Organic,2.360000000,6583.11,26.77,913.31,0.00,5643.03,1750.22,3892.81,0.00
"St. Louis",Weekly,"2017-10-01 00:00:00",Organic,1.410000000,6358.44,127.81,61.21,0.00,6169.42,6169.42,0.00,0.00
Syracuse,Weekly,"2017-10-01 00:00:00",Organic,2.140000000,7152.31,174.02,928.96,0.00,6049.33,5080.69,968.64,0.00
Tampa,Weekly,"2017-10-01 00:00:00",Organic,1.950000000,1072521.35,100319.38,230053.24,1966.94,739701.61,658536.46,81088.57,76.58
West,Weekly,"2017-10-01 00:00:00",Organic,2.450000000,122625.26,16845.73,24294.75,25.18,81459.60,44948.19,36434.83,76.58
"West Tex/New Mexico",Weekly,"2017-10-01 00:00:00",Organic,2.370000000,8873.32,1474.43,1689.97,0.00,5708.92,5639.42,69.50,0.00
"Total U.S.",Weekly,"2017-10-08 00:00:00",Organic,1.400000000,5229.43,23.15,341.52,0.00,4864.76,4864.76,0.00,0.00
Albany,Weekly,"2017-10-08 00:00:00",Organic,2.550000000,12275.61,371.26,4535.92,0.00,7368.43,6809.48,558.95,0.00
Atlanta,Weekly,"2017-10-08 00:00:00",Organic,1.500000000,67233.45,2811.23,6844.10,80.66,57497.46,57494.13,3.33,0.00
Baltimore/Washington,Weekly,"2017-10-08 00:00:00",Organic,2.780000000,1655.56,62.55,573.83,0.00,1019.18,96.57,922.61,0.00
Boise,Weekly,"2017-10-08 00:00:00",Organic,1.560000000,30044.20,15.95,1103.10,0.00,28925.15,28907.37,17.78,0.00
Boston,Weekly,"2017-10-08 00:00:00",Organic,1.340000000,15466.92,324.20,148.90,0.00,14993.82,14993.82,0.00,0.00
Buffalo/Rochester,Weekly,"2017-10-08 00:00:00",Organic,2.170000000,124505.87,26222.41,53539.49,0.00,44743.97,44692.13,51.84,0.00
California,Weekly,"2017-10-08 00:00:00",Organic,2.670000000,9398.69,30.60,3911.27,130.82,5326.00,5147.98,178.02,0.00
Charlotte,Weekly,"2017-10-08 00:00:00",Organic,1.800000000,44054.70,50.60,31925.41,0.00,12078.69,12070.92,7.77,0.00
Chicago,Weekly,"2017-10-08 00:00:00",Organic,1.940000000,8459.92,246.84,4265.50,0.00,3947.58,3897.20,50.38,0.00
Cincinnati/Dayton,Weekly,"2017-10-08 00:00:00",Organic,1.890000000,9142.31,583.62,1941.13,0.00,6617.56,6597.37,20.19,0.00
Columbus,Weekly,"2017-10-08 00:00:00",Organic,1.730000000,19807.92,5943.03,470.54,0.00,13394.35,13391.02,3.33,0.00
"Dallas/Ft. Worth",Weekly,"2017-10-08 00:00:00",Organic,1.970000000,22719.75,7350.34,484.37,30.99,14854.05,14714.76,139.29,0.00
Denver,Weekly,"2017-10-08 00:00:00",Organic,1.820000000,18553.99,552.98,3869.45,1.42,14053.35,14007.66,45.69,0.00
Detroit,Weekly,"2017-10-08 00:00:00",Organic,1.510000000,8806.63,42.25,1218.07,0.00,7546.31,7546.31,0.00,0.00
"Grand Rapids",Weekly,"2017-10-08 00:00:00",Organic,1.700000000,191866.10,3603.46,56237.45,1.62,131818.51,124355.02,7463.49,0.00
"Great Lakes",Weekly,"2017-10-08 00:00:00",Organic,1.440000000,25995.93,236.33,183.12,12.04,25564.44,25562.80,1.64,0.00
Harrisburg/Scranton,Weekly,"2017-10-08 00:00:00",Organic,1.930000000,17346.22,52.43,3324.46,7.00,13962.33,13882.94,79.39,0.00
Hartford/Springfield,Weekly,"2017-10-08 00:00:00",Organic,1.840000000,23699.39,7124.21,56.18,0.00,16519.00,16519.00,0.00,0.00
Houston,Weekly,"2017-10-08 00:00:00",Organic,1.690000000,8449.91,201.29,1298.56,0.00,6936.73,5440.34,1496.39,0.00
Indianapolis,Weekly,"2017-10-08 00:00:00",Organic,2.310000000,1841.09,54.21,463.78,8.43,1314.67,1314.67,0.00,0.00
Jacksonville,Weekly,"2017-10-08 00:00:00",Organic,2.250000000,6511.51,1223.09,194.14,0.00,5094.28,5038.49,55.79,0.00
"Las Vegas",Weekly,"2017-10-08 00:00:00",Organic,2.280000000,59194.04,5549.94,22828.93,0.00,30815.17,30769.51,45.66,0.00
"Los Angeles",Weekly,"2017-10-08 00:00:00",Organic,2.150000000,3097.70,1.29,1195.97,0.00,1900.44,1173.79,726.65,0.00
Louisville,Weekly,"2017-10-08 00:00:00",Organic,1.970000000,3758.30,98.70,435.16,0.00,3224.44,3221.11,3.33,0.00
"Miami/Ft. Lauderdale",Weekly,"2017-10-08 00:00:00",Organic,1.870000000,176218.89,4376.74,35185.02,566.08,136087.82,131997.28,4090.54,0.00
Midsouth,Weekly,"2017-10-08 00:00:00",Organic,2.170000000,7071.72,60.89,2903.35,0.00,4107.48,2453.39,1654.09,0.00
Nashville,Weekly,"2017-10-08 00:00:00",Organic,1.690000000,2402.71,208.27,73.21,0.00,2121.23,2111.23,10.00,0.00
"New Orleans/Mobile",Weekly,"2017-10-08 00:00:00",Organic,2.060000000,67166.62,6353.85,16664.55,133.03,44015.19,43893.94,121.25,0.00
"New York",Weekly,"2017-10-08 00:00:00",Organic,1.640000000,275572.00,11078.60,25362.38,131.65,238999.37,238752.11,247.26,0.00
Northeast,Weekly,"2017-10-08 00:00:00",Organic,1.520000000,21089.70,10.89,194.84,0.00,20883.97,20879.53,4.44,0.00
"Northern New England",Weekly,"2017-10-08 00:00:00",Organic,2.270000000,4734.25,198.53,1046.76,0.00,3488.96,3378.88,110.08,0.00
